Year,State Name,District Name,Block Name,Panchayat Name
2007,KARNATAKA,BANGALORE RURAL,MAGADI,KUDUR
2007,KARNATAKA,BANGLORE URBAN,BANGALORE SOUTH,BELLANDUR
2007,KARNATAKA,BANGLORE URBAN,BANGALORE SOUTH,GOTTIGERE
2007,KARNATAKA,BELGAUM,BELGAUM,KUDREMANI
2007,KARNATAKA,CHIKMAGALUR,CHICKMAGALUR,INDAVARA
2007,KARNATAKA,CHIKMAGALUR,KOPPA,HARIHARAPURA
2007,KARNATAKA,CHIKMAGALUR,KOPPA,KOPPA RURAL
2007,KARNATAKA,CHIKMAGALUR,MUDIGERE,NIDUVALE
2007,KARNATAKA,CHIKMAGALUR,SRINGERI,ADDAGADDE
2007,KARNATAKA,CHITRADURGA,CHITRADURGA,MEDEHALLI
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,ALIKE
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,BALEPUNI
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,GOLTHAMAJALU
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,IRA
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,KEDILA
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,KURNADU
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,MANCHI
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,NARINGANA
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,PAJEER
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,PERNE
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,SAJIPAMUDA
2007,KARNATAKA,DAKSHIN KANNAD,BANTWAL,VITTLAPADNURU
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,ANDINJE
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,ARAMBODY
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,HOSANGADY
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,ILANTHILA
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,INDABETTU
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,KALMANJA
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,KANIYORU
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,KASHIPATNA
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,KUKKEDI
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,KUVETTU
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,LAILA
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,MACHINA
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,MADANTHYARU
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,MALADI
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,MARODY
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,NARAVI
2007,KARNATAKA,DAKSHIN KANNAD,BELTANGADI,SHIBAJE
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,AIKALA
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,BAJPE
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,BOLIYARU
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,KONAJE
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,KOTEKAR
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,MUNNURU
2007,KARNATAKA,DAKSHIN KANNAD,MANGALORE,NEERMARGA
2007,KARNATAKA,DAKSHIN KANNAD,PUTTUR,34 NEKKILADY
