Year,State Name,District Name,Block Name,Panchayat Name
2010,PUNJAB,AMRITSAR,AJNALA,BHAKHA HARI SINGH
2010,PUNJAB,AMRITSAR,CHOGAWAN,BHALST
2010,PUNJAB,AMRITSAR,CHOGAWAN,GAGAR MAL
2010,PUNJAB,AMRITSAR,JANDIALA GURU,DODHALA
2010,PUNJAB,AMRITSAR,MAJITHA,KOTLA SULTAN SINGH
2010,PUNJAB,AMRITSAR,MAJITHA,KURALIAN
2010,PUNJAB,AMRITSAR,MAJITHA,ROOPOWALI KHURD
2010,PUNJAB,AMRITSAR,MAJITHA,SARHALA
2010,PUNJAB,AMRITSAR,MAJITHA,UMAR PURA
2010,PUNJAB,AMRITSAR,RAYYA,JALLUPUR KHERA
2010,PUNJAB,AMRITSAR,TARSIKKA,DEHRIWALA
2010,PUNJAB,AMRITSAR,TARSIKKA,GILL
2010,PUNJAB,AMRITSAR,TARSIKKA,JASPAL
2010,PUNJAB,AMRITSAR,TARSIKKA,KAZIKOT
2010,PUNJAB,AMRITSAR,TARSIKKA,KOT KHERA
2010,PUNJAB,AMRITSAR,TARSIKKA,SIALKA
2010,PUNJAB,AMRITSAR,VERKA,PANDORI LUBANA
2010,PUNJAB,BATHINDA,BHAGTA BHAIKA,RAJGARH KHURD
2010,PUNJAB,BATHINDA,MAUR,BURJ
2010,PUNJAB,BATHINDA,MAUR,DHAN SINGH KHANA
2010,PUNJAB,BATHINDA,MAUR,MARI
2010,PUNJAB,BATHINDA,MAUR,RAMGARH BHUNDER
2010,PUNJAB,BATHINDA,NATHANA,POOHLI
2010,PUNJAB,BATHINDA,PHUL,BURJ MANSA
2010,PUNJAB,BATHINDA,PHUL,RAYIA
2010,PUNJAB,BATHINDA,RAMPURA,GILL KHURD
2010,PUNJAB,BATHINDA,RAMPURA,HARKISHANPURA
2010,PUNJAB,BATHINDA,RAMPURA,KHOKHAR
2010,PUNJAB,BATHINDA,RAMPURA,NANDGARH
2010,PUNJAB,BATHINDA,SANGAT,CHAK RULDU SINGH WALA
2010,PUNJAB,BATHINDA,SANGAT,SEKHU
2010,PUNJAB,BATHINDA,TALWANDI SABO,BANGI DEEPA SINGH
2010,PUNJAB,BATHINDA,TALWANDI SABO,GURUSAR JAGGA
2010,PUNJAB,BATHINDA,TALWANDI SABO,NASIBPURA
2010,PUNJAB,FEROZPUR,MAKHU,JAGGE WALA
2010,PUNJAB,GURDASPUR,BATALA,KOT AHMAD KHAN
2010,PUNJAB,GURDASPUR,DHAR KALAN,BAGHAR
2010,PUNJAB,GURDASPUR,DHAR KALAN,HARDOSARNI
2010,PUNJAB,GURDASPUR,QADIAN,RADHAN
2010,PUNJAB,KAPURTHALA,KAPURTHALA,BALER KHANPUR
2010,PUNJAB,KAPURTHALA,KAPURTHALA,RATTA NAUBAD
2010,PUNJAB,KAPURTHALA,KAPURTHALA,SAIDO BHULANA
2010,PUNJAB,KAPURTHALA,PHAGWARA,MAAN
2010,PUNJAB,RUPNAGAR,ANANDPUR SAHIB,DABOUR
2010,PUNJAB,RUPNAGAR,ANANDPUR SAHIB,NANOWAL
2010,PUNJAB,RUPNAGAR,CHAMKAUR SAHIB,RASHIDPUR
2010,PUNJAB,RUPNAGAR,RUPNAGAR,BAHADURPUR
2010,PUNJAB,RUPNAGAR,RUPNAGAR,HARIPUR URF RODEMAJRA
2010,PUNJAB,RUPNAGAR,RUPNAGAR,LAKHMIPUR
2010,PUNJAB,RUPNAGAR,RUPNAGAR,MADPUR
2010,PUNJAB,RUPNAGAR,RUPNAGAR,PATIAL
