Year,State Name,District Name,Block Name,Panchayat Name
2005,WEST BENGAL,BARDHAMAN,RAINA-I,NARUGRAM
2005,WEST BENGAL,HOOGHLY,ARAMBAGH,HARINKHOLA-II
2005,WEST BENGAL,HOOGHLY,ARAMBAGH,SALEPUR-II
2005,WEST BENGAL,HOWRAH,AMTA-II,JOYPUR
2005,WEST BENGAL,HOWRAH,BALLY-JAGACHA,CHAMRAIL
2005,WEST BENGAL,MEDINIPUR WEST,DANTAN-II,SABRA
2005,WEST BENGAL,MEDINIPUR WEST,DANTAN-II,SHAWREE KOTBAR
2005,WEST BENGAL,MEDINIPUR WEST,DASPUR-I,PANCHBERIYA
2005,WEST BENGAL,MEDINIPUR WEST,NARAYANGARH,NARMA
2005,WEST BENGAL,NORTH 24 PARAGANAS,BARASAT-I,PURBA KHILKAPUR
